English,Where it appears,Screen / file,Placeholders,Keep English,Note
Enjoying Link Robins?,Dashboard,dashboard/index,,,
Share your experience on our Wall of Love — it helps other forum owners and only takes a minute.,Dashboard,dashboard/index,,,
Leave a review,Dashboard,"dashboard/index, reviews/index",,,
1. Install the free extension on your forum,Dashboard,dashboard/partials/birdseye-section,,,
"14-day free trial — your key works immediately, and you're not charged until the trial ends.",Dashboard,dashboard/partials/birdseye-section,,,
2. Paste this key into Birdseye's settings in your admin panel,Dashboard,dashboard/partials/birdseye-section,,,
Add analytics,Dashboard,dashboard/partials/birdseye-section,,,
Analytics key,Dashboard,dashboard/partials/birdseye-section,,,
Analytics — Birdseye,Dashboard,dashboard/partials/birdseye-section,,,
Awaiting first check-in,Dashboard,dashboard/partials/birdseye-section,,,
Birdseye key,Dashboard,dashboard/partials/birdseye-section,,,
"Forum analytics that live in your own database — server-side, no JavaScript, no cookies. Install the free extension and paste one key.",Dashboard,dashboard/partials/birdseye-section,,,
Last check-in :ago,Dashboard,dashboard/partials/birdseye-section,:ago,,
Last check-in :ago.,Dashboard,dashboard/partials/birdseye-section,:ago,,
Manage Birdseye key,Dashboard,dashboard/partials/birdseye-section,,,
Next check-in window opens in :time (midnight UTC).,Dashboard,dashboard/partials/birdseye-section,:time,,
"On Birdseye 1.3 or newer, your forum appears here seconds after you save the key in its admin panel. Older versions check in after their first full day of stats (days roll over at midnight UTC). Either way the key binds to your forum on first contact — one key, one forum.",Dashboard,dashboard/partials/birdseye-section,,,
"One key per forum. Billed yearly, cancel anytime — your data never leaves your forum, so there is nothing to export.",Dashboard,dashboard/partials/birdseye-section,,,
Rotate key,Dashboard,dashboard/partials/birdseye-section,,,
The daily check-in window is open now — a newly connected forum usually appears within the hour.,Dashboard,dashboard/partials/birdseye-section,,,
"This key is bound to :host — one key, one forum.",Dashboard,dashboard/partials/birdseye-section,:host,,
"This subscription has ended — the key no longer syncs, but every stat already stored in your forum's database stays yours.",Dashboard,dashboard/partials/birdseye-section,,,
"Visitors, pageviews, search terms, forum health — captured server-side with no JavaScript and no cookies, stored in your forum's own database. We do the math; we keep nothing. Cancel and every stat stays yours.",Dashboard,dashboard/partials/birdseye-section,,,
Waiting for payment confirmation — your key activates automatically.,Dashboard,dashboard/partials/birdseye-section,,,
Show / hide,Dashboard,"dashboard/partials/birdseye-section, dashboard/partials/sandbox-card, dashboard/partials/warble-section",,,
Admin login,Dashboard,dashboard/partials/sandbox-card,,,
All sandbox servers are full right now — you’re in line. Your sandbox starts automatically (and the 4-hour clock only starts then).,Dashboard,dashboard/partials/sandbox-card,,,
Connect your AI (MCP),Dashboard,dashboard/partials/sandbox-card,,,
In line…,Dashboard,dashboard/partials/sandbox-card,,,
"Log in on the forum, then open Administration from your user menu.",Dashboard,dashboard/partials/sandbox-card,,,
Manage sandbox :name,Dashboard,dashboard/partials/sandbox-card,:name,,
Registered as a Composer source. Install or update it from Admin → Extensions (Extension Manager).,Dashboard,dashboard/partials/sandbox-card,,,
Setting up your sandbox — this takes about a minute. We’ll reveal it once Flarum is live.,Dashboard,dashboard/partials/sandbox-card,,,
Shut down,Dashboard,dashboard/partials/sandbox-card,,,
Standing up…,Dashboard,dashboard/partials/sandbox-card,,,
"Write mode, with the extension manager — your AI can install extensions and run diagnostics.",Dashboard,dashboard/partials/sandbox-card,,,
Ready,Dashboard,"dashboard/partials/sandbox-card, dashboard/partials/sandbox-section",,,
Your extension repo,Dashboard,"dashboard/partials/sandbox-card, dashboard/partials/sandbox-section",,,
Open,Dashboard,"dashboard/partials/sandbox-card, monitors/partials/context-menu",,,
Database,Dashboard,"dashboard/partials/sandbox-card, shared/hosting-history",,,
A distinct driver from MariaDB in Flarum 2.0 — test against real MySQL.,Dashboard,dashboard/partials/sandbox-section,,,
"A throwaway Flarum 2.0 + MCP on its own subdomain. Free — runs for 4 hours, then tears down automatically. Shut it down anytime.",Dashboard,dashboard/partials/sandbox-section,,,
Access token for a private repo,Dashboard,dashboard/partials/sandbox-section,,,
Choose a database,Dashboard,dashboard/partials/sandbox-section,,,
Default — what most extensions are built and tested against.,Dashboard,dashboard/partials/sandbox-section,,,
"Free, throwaway Flarum + MCP instances for building and testing extensions — each runs for 4 hours, then tears down automatically.",Dashboard,dashboard/partials/sandbox-section,,,
Launch sandbox,Dashboard,dashboard/partials/sandbox-section,,,
"Lightest option — a single file, no database server.",Dashboard,dashboard/partials/sandbox-section,,,
Max sandboxes running,Dashboard,dashboard/partials/sandbox-section,,,
New engine support in Flarum 2.0.,Dashboard,dashboard/partials/sandbox-section,,,
"Only for private repos. Use a fine-grained, read-only token scoped to that one repo — it lives only in your disposable sandbox.",Dashboard,dashboard/partials/sandbox-section,,,
Public repos need no token. You can also add a repo later from the Extension Manager.,Dashboard,dashboard/partials/sandbox-section,,,
Shut one down to launch another (limit :n).,Dashboard,dashboard/partials/sandbox-section,:n,,
We’ll register it as a Composer source so you can install/update it from the Extension Manager.,Dashboard,dashboard/partials/sandbox-section,,,
Launch a sandbox,Dashboard,"dashboard/partials/sandbox-section, sandbox/index",,,
down,Dashboard,dashboard/partials/uptime-section,,,
Latest incidents,Dashboard,dashboard/partials/uptime-section,,,
New monitor,Dashboard,dashboard/partials/uptime-section,,,
No monitors yet.,Dashboard,dashboard/partials/uptime-section,,,
up,Dashboard,dashboard/partials/uptime-section,,,
Upcoming maintenance,Dashboard,dashboard/partials/uptime-section,,,
No data,Dashboard,"dashboard/partials/uptime-section, incidents/index, incidents/show (+3 more)",,,
Add your first monitor,Dashboard,"dashboard/partials/uptime-section, monitoring/index",,,
View all,Dashboard,"dashboard/partials/uptime-section, monitors/overview",,,
1. Install the extension on your forum (Realtime comes with it),Dashboard,dashboard/partials/warble-section,,,
"2. Enable Realtime + Warble in your admin panel, then paste this key into Warble",Dashboard,dashboard/partials/warble-section,,,
Add realtime,Dashboard,dashboard/partials/warble-section,,,
All realtime servers are full right now — you’re in line. Your endpoint sets up automatically as soon as capacity frees up.,Dashboard,dashboard/partials/warble-section,,,
App ID,Dashboard,dashboard/partials/warble-section,,,
Change,Dashboard,dashboard/partials/warble-section,,,
connections,Dashboard,dashboard/partials/warble-section,,,
Create endpoint,Dashboard,dashboard/partials/warble-section,,,
"Free: no card, pauses after 30 idle days. Paid: cancel anytime. Above 2,000 connections, you’re ready to self-host — run flarum/realtime’s stock daemon instead.",Dashboard,dashboard/partials/warble-section,,,
"Hosted realtime for a Flarum forum you own — live discussions, typing, presence, unlimited messages. Install the Warble extension and paste your key.",Dashboard,dashboard/partials/warble-section,,,
"Hosted realtime for your Flarum forum — live discussions, typing, presence. Install the Warble extension and paste one key. Unlimited messages.",Dashboard,dashboard/partials/warble-section,,,
Key,Dashboard,dashboard/partials/warble-section,,,
Manage Warble :name,Dashboard,dashboard/partials/warble-section,:name,,
